sequence_name,mcg,gvh,lip,chg,aac,alm1,alm2,location
RIMI_ECOLI,0.24,0.57,0.48,0.50,0.63,0.34,0.43,1
RIMJ_ECOLI,0.38,0.26,0.48,0.50,0.54,0.16,0.28,1
RIML_ECOLI,0.33,0.47,0.48,0.50,0.53,0.18,0.29,1
RNB_ECOLI,0.24,0.34,0.48,0.50,0.38,0.30,0.40,1
RNC_ECOLI,0.26,0.50,0.48,0.50,0.44,0.32,0.41,1
RND_ECOLI,0.44,0.49,0.48,0.50,0.39,0.38,0.40,1
RNE_ECOLI,0.43,0.32,0.48,0.50,0.33,0.45,0.52,1
SERC_ECOLI,0.49,0.43,0.48,0.50,0.49,0.30,0.40,1
SLYD_ECOLI,0.47,0.28,0.48,0.50,0.56,0.20,0.25,1
SOXS_ECOLI,0.32,0.33,0.48,0.50,0.60,0.06,0.20,1
SYA_ECOLI,0.34,0.35,0.48,0.50,0.51,0.49,0.56,1
SYC_ECOLI,0.35,0.34,0.48,0.50,0.46,0.30,0.27,1
SYD_ECOLI,0.38,0.30,0.48,0.50,0.43,0.29,0.39,1
SYE_ECOLI,0.38,0.44,0.48,0.50,0.43,0.20,0.31,1
SYFA_ECOLI,0.41,0.51,0.48,0.50,0.58,0.20,0.31,1
SYFB_ECOLI,0.34,0.42,0.48,0.50,0.41,0.34,0.43,1
SYGA_ECOLI,0.51,0.49,0.48,0.50,0.53,0.14,0.26,1
SYGB_ECOLI,0.25,0.51,0.48,0.50,0.37,0.42,0.50,1
SYH_ECOLI,0.29,0.28,0.48,0.50,0.50,0.42,0.50,1
SYI_ECOLI,0.25,0.26,0.48,0.50,0.39,0.32,0.42,1
SYK1_ECOLI,0.24,0.41,0.48,0.50,0.49,0.23,0.34,1
SYK2_ECOLI,0.17,0.39,0.48,0.50,0.53,0.30,0.39,1
SYL_ECOLI,0.04,0.31,0.48,0.50,0.41,0.29,0.39,1
SYM_ECOLI,0.61,0.36,0.48,0.50,0.49,0.35,0.44,1
SYP_ECOLI,0.34,0.51,0.48,0.50,0.44,0.37,0.46,1
SYQ_ECOLI,0.28,0.33,0.48,0.50,0.45,0.22,0.33,1
SYR_ECOLI,0.40,0.46,0.48,0.50,0.42,0.35,0.44,1
SYS_ECOLI,0.23,0.34,0.48,0.50,0.43,0.26,0.37,1
SYT_ECOLI,0.37,0.44,0.48,0.50,0.42,0.39,0.47,1
SYV_ECOLI,0.00,0.38,0.48,0.50,0.42,0.48,0.55,1
SYW_ECOLI,0.39,0.31,0.48,0.50,0.38,0.34,0.43,1
SYY_ECOLI,0.30,0.44,0.48,0.50,0.49,0.22,0.33,1
THGA_ECOLI,0.27,0.30,0.48,0.50,0.71,0.28,0.39,1
THIK_ECOLI,0.17,0.52,0.48,0.50,0.49,0.37,0.46,1
TYRB_ECOLI,0.36,0.42,0.48,0.50,0.53,0.32,0.41,1
UBIC_ECOLI,0.30,0.37,0.48,0.50,0.43,0.18,0.30,1
UGPQ_ECOLI,0.26,0.40,0.48,0.50,0.36,0.26,0.37,1
USPA_ECOLI,0.40,0.41,0.48,0.50,0.55,0.22,0.33,1
UVRB_ECOLI,0.22,0.34,0.48,0.50,0.42,0.29,0.39,1
UVRC_ECOLI,0.44,0.35,0.48,0.50,0.44,0.52,0.59,1
XGPT_ECOLI,0.27,0.42,0.48,0.50,0.37,0.38,0.43,1
XYLA_ECOLI,0.16,0.43,0.48,0.50,0.54,0.27,0.37,1
EMRA_ECOLI,0.06,0.61,0.48,0.50,0.49,0.92,0.37,2
AAS_ECOLI,0.44,0.52,0.48,0.50,0.43,0.47,0.54,2
AMPE_ECOLI,0.63,0.47,0.48,0.50,0.51,0.82,0.84,2
ARAE_ECOLI,0.23,0.48,0.48,0.50,0.59,0.88,0.89,2
ARAH_ECOLI,0.34,0.49,0.48,0.50,0.58,0.85,0.80,2
AROP_ECOLI,0.43,0.40,0.48,0.50,0.58,0.75,0.78,2
ATKB_ECOLI,0.46,0.61,0.48,0.50,0.48,0.86,0.87,2
ATP6_ECOLI,0.27,0.35,0.48,0.50,0.51,0.77,0.79,2
BETT_ECOLI,0.52,0.39,0.48,0.50,0.65,0.71,0.73,2
CODB_ECOLI,0.29,0.47,0.48,0.50,0.71,0.65,0.69,2
CYDA_ECOLI,0.55,0.47,0.48,0.50,0.57,0.78,0.80,2
CYOC_ECOLI,0.12,0.67,0.48,0.50,0.74,0.58,0.63,2
CYOD_ECOLI,0.40,0.50,0.48,0.50,0.65,0.82,0.84,2
DCTA_ECOLI,0.73,0.36,0.48,0.50,0.53,0.91,0.92,2
DHG_ECOLI,0.84,0.44,0.48,0.50,0.48,0.71,0.74,2
DHSC_ECOLI,0.48,0.45,0.48,0.50,0.60,0.78,0.80,2
DHSD_ECOLI,0.54,0.49,0.48,0.50,0.40,0.87,0.88,2
DPPC_ECOLI,0.48,0.41,0.48,0.50,0.51,0.90,0.88,2
DSBB_ECOLI,0.50,0.66,0.48,0.50,0.31,0.92,0.92,2
ENVZ_ECOLI,0.72,0.46,0.48,0.50,0.51,0.66,0.70,2
EXBB_ECOLI,0.47,0.55,0.48,0.50,0.58,0.71,0.75,2
FRDC_ECOLI,0.33,0.56,0.48,0.50,0.33,0.78,0.80,2
FRDD_ECOLI,0.64,0.58,0.48,0.50,0.48,0.78,0.73,2
FTSW_ECOLI,0.54,0.57,0.48,0.50,0.56,0.81,0.83,2
GABP_ECOLI,0.47,0.59,0.48,0.50,0.52,0.76,0.79,2
GALP_ECOLI,0.63,0.50,0.48,0.50,0.59,0.85,0.86,2
GLNP_ECOLI,0.49,0.42,0.48,0.50,0.53,0.79,0.81,2
GLPT_ECOLI,0.31,0.50,0.48,0.50,0.57,0.84,0.85,2
GLTP_ECOLI,0.74,0.44,0.48,0.50,0.55,0.88,0.89,2
KDGL_ECOLI,0.33,0.45,0.48,0.50,0.45,0.88,0.89,2
KGTP_ECOLI,0.45,0.40,0.48,0.50,0.61,0.74,0.77,2
LACY_ECOLI,0.71,0.40,0.48,0.50,0.71,0.70,0.74,2
LGT_ECOLI,0.50,0.37,0.48,0.50,0.66,0.64,0.69,2
LLDP_ECOLI,0.66,0.53,0.48,0.50,0.59,0.66,0.66,2
LNT_ECOLI,0.60,0.61,0.48,0.50,0.54,0.67,0.71,2
LSPA_ECOLI,0.83,0.37,0.48,0.50,0.61,0.71,0.74,2
LYSP_ECOLI,0.34,0.51,0.48,0.50,0.67,0.90,0.90,2
MALF_ECOLI,0.63,0.54,0.48,0.50,0.65,0.79,0.81,2
MALG_ECOLI,0.70,0.40,0.48,0.50,0.56,0.86,0.83,2
MCP3_ECOLI,0.60,0.50,1.00,0.50,0.54,0.77,0.80,2
MSBB_ECOLI,0.16,0.51,0.48,0.50,0.33,0.39,0.48,2
MTR_ECOLI,0.74,0.70,0.48,0.50,0.66,0.65,0.69,2
NANT_ECOLI,0.20,0.46,0.48,0.50,0.57,0.78,0.81,2
NHAA_ECOLI,0.89,0.55,0.48,0.50,0.51,0.72,0.76,2
NHAB_ECOLI,0.70,0.46,0.48,0.50,0.56,0.78,0.73,2
PHEP_ECOLI,0.12,0.43,0.48,0.50,0.63,0.70,0.74,2
PHOR_ECOLI,0.61,0.52,0.48,0.50,0.54,0.67,0.52,2
PNTA_ECOLI,0.33,0.37,0.48,0.50,0.46,0.65,0.69,2
POTE_ECOLI,0.63,0.65,0.48,0.50,0.66,0.67,0.71,2
PROP_ECOLI,0.41,0.51,0.48,0.50,0.53,0.75,0.78,2
PSTA_ECOLI,0.34,0.67,0.48,0.50,0.52,0.76,0.79,2
PSTC_ECOLI,0.58,0.34,0.48,0.50,0.56,0.87,0.81,2
PTAA_ECOLI,0.59,0.56,0.48,0.50,0.55,0.80,0.82,2
PTBA_ECOLI,0.51,0.40,0.48,0.50,0.57,0.62,0.67,2
PTCC_ECOLI,0.50,0.57,0.48,0.50,0.71,0.61,0.66,2
PTDA_ECOLI,0.60,0.46,0.48,0.50,0.45,0.81,0.83,2
PTFB_ECOLI,0.37,0.47,0.48,0.50,0.39,0.76,0.79,2
PTGB_ECOLI,0.58,0.55,0.48,0.50,0.57,0.70,0.74,2
PTHB_ECOLI,0.36,0.47,0.48,0.50,0.51,0.69,0.72,2
PTMA_ECOLI,0.39,0.41,0.48,0.50,0.52,0.72,0.75,2
PTOA_ECOLI,0.35,0.51,0.48,0.50,0.61,0.71,0.74,2
PTTB_ECOLI,0.31,0.44,0.48,0.50,0.50,0.79,0.82,2
RODA_ECOLI,0.61,0.66,0.48,0.50,0.46,0.87,0.88,2
SECE_ECOLI,0.48,0.49,0.48,0.50,0.52,0.77,0.71,2
SECF_ECOLI,0.11,0.50,0.48,0.50,0.58,0.72,0.68,2
SECY_ECOLI,0.31,0.36,0.48,0.50,0.58,0.94,0.94,2
TNAB_ECOLI,0.68,0.51,0.48,0.50,0.71,0.75,0.78,2
XYLE_ECOLI,0.69,0.39,0.48,0.50,0.57,0.76,0.79,2
YCEE_ECOLI,0.52,0.54,0.48,0.50,0.62,0.76,0.79,2
EXBD_ECOLI,0.46,0.59,0.48,0.50,0.36,0.76,0.23,2
FTSL_ECOLI,0.36,0.45,0.48,0.50,0.38,0.79,0.17,2
FTSN_ECOLI,0.00,0.51,0.48,0.50,0.35,0.67,0.44,2
FTSQ_ECOLI,0.10,0.49,0.48,0.50,0.41,0.67,0.21,2
MOTB_ECOLI,0.30,0.51,0.48,0.50,0.42,0.61,0.34,2
TOLA_ECOLI,0.61,0.47,0.48,0.50,0.00,0.80,0.32,2
TOLQ_ECOLI,0.63,0.75,0.48,0.50,0.64,0.73,0.66,2
EMRB_ECOLI,0.71,0.52,0.48,0.50,0.64,1.00,0.99,2
ATKC_ECOLI,0.85,0.53,0.48,0.50,0.53,0.52,0.35,8
NFRB_ECOLI,0.63,0.49,0.48,0.50,0.54,0.76,0.79,8
NLPA_ECOLI,0.75,0.55,1.00,1.00,0.40,0.47,0.30,7
CYOA_ECOLI,0.70,0.39,1.00,0.50,0.51,0.82,0.84,7
ATKA_ECOLI,0.72,0.42,0.48,0.50,0.65,0.77,0.79,4
BCR_ECOLI,0.79,0.41,0.48,0.50,0.66,0.81,0.83,4
CADB_ECOLI,0.83,0.48,0.48,0.50,0.65,0.76,0.79,4
CAIT_ECOLI,0.69,0.43,0.48,0.50,0.59,0.74,0.77,4
CPXA_ECOLI,0.79,0.36,0.48,0.50,0.46,0.82,0.70,4
CRED_ECOLI,0.78,0.33,0.48,0.50,0.57,0.77,0.79,4
CYDB_ECOLI,0.75,0.37,0.48,0.50,0.64,0.70,0.74,4
CYOB_ECOLI,0.59,0.29,0.48,0.50,0.64,0.75,0.77,4
CYOE_ECOLI,0.67,0.37,0.48,0.50,0.54,0.64,0.68,4
DMSC_ECOLI,0.66,0.48,0.48,0.50,0.54,0.70,0.74,4
DPPB_ECOLI,0.64,0.46,0.48,0.50,0.48,0.73,0.76,4
DSBD_ECOLI,0.76,0.71,0.48,0.50,0.50,0.71,0.75,4
FEPD_ECOLI,0.84,0.49,0.48,0.50,0.55,0.78,0.74,4
FEPG_ECOLI,0.77,0.55,0.48,0.50,0.51,0.78,0.74,4
FTSH_ECOLI,0.81,0.44,0.48,0.50,0.42,0.67,0.68,4
GLTS_ECOLI,0.58,0.60,0.48,0.50,0.59,0.73,0.76,4
KEFC_ECOLI,0.63,0.42,0.48,0.50,0.48,0.77,0.80,4
KUP_ECOLI,0.62,0.42,0.48,0.50,0.58,0.79,0.81,4
MCP1_ECOLI,0.86,0.39,0.48,0.50,0.59,0.89,0.90,4
MCP2_ECOLI,0.81,0.53,0.48,0.50,0.57,0.87,0.88,4
MCP4_ECOLI,0.87,0.49,0.48,0.50,0.61,0.76,0.79,4
MELB_ECOLI,0.47,0.46,0.48,0.50,0.62,0.74,0.77,4
MOTA_ECOLI,0.76,0.41,0.48,0.50,0.50,0.59,0.62,4
NUPC_ECOLI,0.70,0.53,0.48,0.50,0.70,0.86,0.87,4
NUPG_ECOLI,0.64,0.45,0.48,0.50,0.67,0.61,0.66,4
PNTB_ECOLI,0.81,0.52,0.48,0.50,0.57,0.78,0.80,4
PTKC_ECOLI,0.73,0.26,0.48,0.50,0.57,0.75,0.78,4
RHAT_ECOLI,0.49,0.61,1.00,0.50,0.56,0.71,0.74,4
SECD_ECOLI,0.88,0.42,0.48,0.50,0.52,0.73,0.75,4
SECG_ECOLI,0.84,0.54,0.48,0.50,0.75,0.92,0.70,4
TEHA_ECOLI,0.63,0.51,0.48,0.50,0.64,0.72,0.76,4
TYRP_ECOLI,0.86,0.55,0.48,0.50,0.63,0.81,0.83,4
UHPB_ECOLI,0.79,0.54,0.48,0.50,0.50,0.66,0.68,4
TONB_ECOLI,0.57,0.38,0.48,0.50,0.06,0.49,0.33,4
LEP_ECOLI,0.78,0.44,0.48,0.50,0.45,0.73,0.68,4
FADL_ECOLI,0.78,0.68,0.48,0.50,0.83,0.40,0.29,5
FHUA_ECOLI,0.63,0.69,0.48,0.50,0.65,0.41,0.28,5
LAMB_ECOLI,0.67,0.88,0.48,0.50,0.73,0.50,0.25,5
NFRA_ECOLI,0.61,0.75,0.48,0.50,0.51,0.33,0.33,5
NMPC_ECOLI,0.67,0.84,0.48,0.50,0.74,0.54,0.37,5
OMPA_ECOLI,0.74,0.90,0.48,0.50,0.57,0.53,0.29,5
OMPC_ECOLI,0.73,0.84,0.48,0.50,0.86,0.58,0.29,5
OMPF_ECOLI,0.75,0.76,0.48,0.50,0.83,0.57,0.30,5
OMPX_ECOLI,0.77,0.57,0.48,0.50,0.88,0.53,0.20,5
PHOE_ECOLI,0.74,0.78,0.48,0.50,0.75,0.54,0.15,5
TSX_ECOLI,0.68,0.76,0.48,0.50,0.84,0.45,0.27,5
BTUB_ECOLI,0.56,0.68,0.48,0.50,0.77,0.36,0.45,5
CIRA_ECOLI,0.65,0.51,0.48,0.50,0.66,0.54,0.33,5
FECA_ECOLI,0.52,0.81,0.48,0.50,0.72,0.38,0.38,5
FEPA_ECOLI,0.64,0.57,0.48,0.50,0.70,0.33,0.26,5
FHUE_ECOLI,0.60,0.76,1.00,0.50,0.77,0.59,0.52,5
OMPP_ECOLI,0.69,0.59,0.48,0.50,0.77,0.39,0.21,5
OMPT_ECOLI,0.63,0.49,0.48,0.50,0.79,0.45,0.28,5
TOLC_ECOLI,0.71,0.71,0.48,0.50,0.68,0.43,0.36,5
PA1_ECOLI,0.68,0.63,0.48,0.50,0.73,0.40,0.30,5
MULI_ECOLI,0.77,0.57,1.00,0.50,0.37,0.54,0.01,6
NLPB_ECOLI,0.66,0.49,1.00,0.50,0.54,0.56,0.36,6
NLPE_ECOLI,0.71,0.46,1.00,0.50,0.52,0.59,0.30,6
PAL_ECOLI,0.67,0.55,1.00,0.50,0.66,0.58,0.16,6
SLP_ECOLI,0.68,0.49,1.00,0.50,0.62,0.55,0.28,6
AGP_ECOLI,0.74,0.49,0.48,0.50,0.42,0.54,0.36,2
AMY1_ECOLI,0.70,0.61,0.48,0.50,0.56,0.52,0.43,2
ARAF_ECOLI,0.66,0.86,0.48,0.50,0.34,0.41,0.36,2
ASG2_ECOLI,0.73,0.78,0.48,0.50,0.58,0.51,0.31,2
BGLX_ECOLI,0.65,0.57,0.48,0.50,0.47,0.47,0.51,2
C562_ECOLI,0.72,0.86,0.48,0.50,0.17,0.55,0.21,2
CN16_ECOLI,0.67,0.70,0.48,0.50,0.46,0.45,0.33,2
CYPH_ECOLI,0.67,0.81,0.48,0.50,0.54,0.49,0.23,2
CYSP_ECOLI,0.67,0.61,0.48,0.50,0.51,0.37,0.38,2
DGAL_ECOLI,0.63,1.00,0.48,0.50,0.35,0.51,0.49,2
DPPA_ECOLI,0.57,0.59,0.48,0.50,0.39,0.47,0.33,2
DSBA_ECOLI,0.71,0.71,0.48,0.50,0.40,0.54,0.39,2
DSBC_ECOLI,0.66,0.74,0.48,0.50,0.31,0.38,0.43,2
ECOT_ECOLI,0.67,0.81,0.48,0.50,0.25,0.42,0.25,2
ECPD_ECOLI,0.64,0.72,0.48,0.50,0.49,0.42,0.19,2
FECB_ECOLI,0.68,0.82,0.48,0.50,0.38,0.65,0.56,2
FECR_ECOLI,0.32,0.39,0.48,0.50,0.53,0.28,0.38,2
FEPB_ECOLI,0.70,0.64,0.48,0.50,0.47,0.51,0.47,2
FIMC_ECOLI,0.63,0.57,0.48,0.50,0.49,0.70,0.20,2
GGT_ECOLI,0.74,0.82,0.48,0.50,0.49,0.49,0.41,2
GLNH_ECOLI,0.63,0.86,0.48,0.50,0.39,0.47,0.34,2
GLPQ_ECOLI,0.63,0.83,0.48,0.50,0.40,0.39,0.19,2
HTRA_ECOLI,0.63,0.71,0.48,0.50,0.60,0.40,0.39,2
LIVJ_ECOLI,0.71,0.86,0.48,0.50,0.40,0.54,0.32,2
LIVK_ECOLI,0.68,0.78,0.48,0.50,0.43,0.44,0.42,2
MALE_ECOLI,0.64,0.84,0.48,0.50,0.37,0.45,0.40,2
MALM_ECOLI,0.74,0.47,0.48,0.50,0.50,0.57,0.42,2
MEPA_ECOLI,0.75,0.84,0.48,0.50,0.35,0.52,0.33,2
MODA_ECOLI,0.63,0.65,0.48,0.50,0.39,0.44,0.35,2
NRFA_ECOLI,0.69,0.67,0.48,0.50,0.30,0.39,0.24,2
NRFF_ECOLI,0.70,0.71,0.48,0.50,0.42,0.84,0.85,2
OPPA_ECOLI,0.69,0.80,0.48,0.50,0.46,0.57,0.26,2
OSMY_ECOLI,0.64,0.66,0.48,0.50,0.41,0.39,0.20,2
POTD_ECOLI,0.63,0.80,0.48,0.50,0.46,0.31,0.29,2
POTF_ECOLI,0.66,0.71,0.48,0.50,0.41,0.50,0.35,2
PPA_ECOLI,0.69,0.59,0.48,0.50,0.46,0.44,0.52,2
PPB_ECOLI,0.68,0.67,0.48,0.50,0.49,0.40,0.34,2
PROX_ECOLI,0.64,0.78,0.48,0.50,0.50,0.36,0.38,2
PSTS_ECOLI,0.62,0.78,0.48,0.50,0.47,0.49,0.54,2
PTR_ECOLI,0.76,0.73,0.48,0.50,0.44,0.39,0.39,2
RBSB_ECOLI,0.64,0.81,0.48,0.50,0.37,0.39,0.44,2
SPEA_ECOLI,0.29,0.39,0.48,0.50,0.52,0.40,0.48,2
SUBI_ECOLI,0.62,0.83,0.48,0.50,0.46,0.36,0.40,2
TBPA_ECOLI,0.56,0.54,0.48,0.50,0.43,0.37,0.30,2
TESA_ECOLI,0.69,0.66,0.48,0.50,0.41,0.50,0.25,2
TOLB_ECOLI,0.69,0.65,0.48,0.50,0.63,0.48,0.41,2
TORA_ECOLI,0.43,0.59,0.48,0.50,0.52,0.49,0.56,2
TREA_ECOLI,0.74,0.56,0.48,0.50,0.47,0.68,0.30,2
UGPB_ECOLI,0.71,0.57,0.48,0.50,0.48,0.35,0.32,2
USHA_ECOLI,0.61,0.60,0.48,0.50,0.44,0.39,0.38,2
XYLF_ECOLI,0.59,0.61,0.48,0.50,0.42,0.42,0.37,2
YTFQ_ECOLI,0.74,0.74,0.48,0.50,0.31,0.53,0.52,2
